company_name,isin,nse_symbol,nse_company_name,series,sector,industry,macro,basic_industry
20 Microns Limited,INE144J01027,20MICRONS,20 Microns Limited,EQ,Metals & Mining,Minerals & Mining,Commodities,Industrial Minerals
21st Century Management Services Limited,INE253B01015,21STCENMGM,21st Century Management Services Limited,EQ,Financial Services,Capital Markets,Financial Services,Other Capital Market related Services
360 ONE WAM LIMITED,INE466L01038,360ONE,360 ONE WAM LIMITED,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
3i Infotech Limited,INE748C01038,3IINFOLTD,3i Infotech Limited,EQ,Information Technology,IT - Software,Information Technology,Computers - Software & Consulting
3M India Limited,INE470A01017,3MINDIA,3M India Limited,EQ,Diversified,Diversified,Diversified,Diversified
3P Land Holdings Limited,INE105C01023,3PLAND,3P Land Holdings Limited,EQ,Financial Services,Finance,Financial Services,Investment Company
5Paisa Capital Limited,INE618L01018,5PAISA,5Paisa Capital Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
63 moons technologies limited,INE111B01023,63MOONS,63 moons technologies limited,EQ,Information Technology,IT - Software,Information Technology,Computers - Software & Consulting
A2Z Infra Engineering Limited,INE619I01012,A2ZINFRA,A2Z Infra Engineering Limited,BE,Services,Commercial Services & Supplies,Services,Diversified Commercial Services
AAA Technologies Limited,INE0D0U01013,AAATECH,AAA Technologies Limited,EQ,Services,Commercial Services & Supplies,Services,Consulting Services
Aadhar Housing Finance Limited,INE883F01010,AADHARHFC,Aadhar Housing Finance Limited,EQ,Financial Services,Finance,Financial Services,Housing Finance Company
Aakash Exploration Services Limited,INE087Z01024,AAKASH,Aakash Exploration Services Limited,BE,Oil Gas & Consumable Fuels,Oil,Energy,Offshore Support Solution Drilling
Aarey Drugs & Pharmaceuticals Limited,INE198H01019,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Aarnav Fashions Limited,INE750R01016,AARNAV,Aarnav Fashions Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Aaron Industries Limited,INE721Z01010,AARON,Aaron Industries Limited,EQ,Capital Goods,Industrial Manufacturing,Industrials,Industrial Products
Aartech Solonics Limited,INE01C001026,AARTECH,Aartech Solonics Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Heavy Electrical Equipment
Aarti Drugs Limited,INE767A01016,AARTIDRUGS,Aarti Drugs Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Aarti Industries Limited,INE769A01020,AARTIIND,Aarti Industries Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Aarti Pharmalabs Limited,INE0LRU01027,AARTIPHARM,Aarti Pharmalabs Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Aarti Surfactants Limited,INE09EO01013,AARTISURF,Aarti Surfactants Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Aarvi Encon Limited,INE754X01016,AARVI,Aarvi Encon Limited,EQ,Services,Commercial Services & Supplies,Services,Diversified Commercial Services
Aavas Financiers Limited,INE216P01012,AAVAS,Aavas Financiers Limited,EQ,Financial Services,Finance,Financial Services,Housing Finance Company
ABB India Limited,INE117A01022,ABB,ABB India Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Heavy Electrical Equipment
Abbott India Limited,INE358A01014,ABBOTINDIA,Abbott India Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Aditya Birla Capital Limited,INE674K01013,ABCAPITAL,Aditya Birla Capital Limited,EQ,Financial Services,Finance,Financial Services,Investment Company
A B Cotspin India Limited,INE08PH01015,ABCOTS,A B Cotspin India Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Allied Blenders and Distillers Limited,INE552Z01027,ABDL,Allied Blenders and Distillers Limited,EQ,Fast Moving Consumer Goods,Beverages,Fast Moving Consumer Goods,Breweries & Distilleries
Aditya Birla Fashion and Retail Limited,INE647O01011,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,Consumer Services,Retailing,Consumer Discretionary,Speciality Retail
A B Infrabuild Limited,INE00YB01025,ABINFRA,A B Infrabuild Limited,EQ,Construction,Construction,Industrials,Civil Construction
Aditya Birla Lifestyle Brands Limited,INE14LE01019,ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,Consumer Services,Retailing,Consumer Discretionary,Speciality Retail
ABM International Limited,INE251C01025,ABMINTLLTD,ABM International Limited,BE,Services,Commercial Services & Supplies,Services,Trading & Distributors
Aditya Birla Real Estate Limited,INE055A01016,ABREL,Aditya Birla Real Estate Limited,EQ,Forest Materials,Paper Forest & Jute Products,Commodities,Paper & Paper Products
Aditya Birla Sun Life AMC Limited,INE404A01024,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,Financial Services,Capital Markets,Financial Services,Asset Management Company
ACC Limited,INE012A01025,ACC,ACC Limited,EQ,Construction Materials,Cement & Cement Products,Commodities,Cement & Cement Products
Accelya Solutions India Limited,INE793A01012,ACCELYA,Accelya Solutions India Limited,EQ,Information Technology,IT - Software,Information Technology,Computers - Software & Consulting
Accuracy Shipping Limited,INE648Z01023,ACCURACY,Accuracy Shipping Limited,EQ,Services,Transport Services,Services,Logistics Solution Provider
Action Construction Equipment Limited,INE731H01025,ACE,Action Construction Equipment Limited,EQ,Capital Goods,Agricultural Commercial & Construction Vehicles,Industrials,Construction Vehicles
Ace Integrated Solutions Limited,INE543V01017,ACEINTEG,Ace Integrated Solutions Limited,EQ,Services,Commercial Services & Supplies,Services,Diversified Commercial Services
Archean Chemical Industries Limited,INE128X01021,ACI,Archean Chemical Industries Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Andhra Cements Limited,INE666E01020,ACL,Andhra Cements Limited,EQ,Construction Materials,Cement & Cement Products,Commodities,Cement & Cement Products
Acme Solar Holdings Limited,INE622W01025,ACMESOLAR,Acme Solar Holdings Limited,EQ,Power,Power,Utilities,Power Generation
Acutaas Chemicals Limited,INE00FF01025,ACUTAAS,Acutaas Chemicals Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Adani Energy Solutions Limited,INE931S01010,ADANIENSOL,Adani Energy Solutions Limited,EQ,Power,Power,Utilities,Power Distribution
Adani Enterprises Limited,INE423A01024,ADANIENT,Adani Enterprises Limited,EQ,Metals & Mining,Metals & Minerals Trading,Commodities,Trading - Minerals
Adani Green Energy Limited,INE364U01010,ADANIGREEN,Adani Green Energy Limited,EQ,Power,Power,Utilities,Power Generation
Adani Ports and Special Economic Zone Limited,INE742F01042,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Services,Transport Infrastructure,Services,Port & Port services
Adani Power Limited,INE814H01029,ADANIPOWER,Adani Power Limited,EQ,Power,Power,Utilities,Integrated Power Utilities
ADF Foods Limited,INE982B01027,ADFFOODS,ADF Foods Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Packaged Foods
Archidply Decor Limited,INE0CHO01012,ADL,Archidply Decor Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates
Ador Welding Limited,INE045A01017,ADOR,Ador Welding Limited,EQ,Capital Goods,Industrial Products,Industrials,Other Industrial Products
Adroit Infotech Limited,INE737B01033,ADROITINFO,Adroit Infotech Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Allied Digital Services Limited,INE102I01027,ADSL,Allied Digital Services Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Advait Energy Transitions Limited,INE0ALI01010,ADVAIT,Advait Energy Transitions Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Other Electrical Equipment
Advance Agrolife Limited,INE1B0W01010,ADVANCE,Advance Agrolife Limited,EQ,Chemicals,Fertilizers & Agrochemicals,Commodities,Pesticides & Agrochemicals
Advani Hotels & Resorts (India) Limited,INE199C01026,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,Consumer Services,Leisure Services,Consumer Discretionary,Hotels & Resorts
Advent Hotels International Limited,INE28GN01010,ADVENTHTL,Advent Hotels International Limited,EQ,Consumer Services,Leisure Services,Consumer Discretionary,Hotels & Resorts
Advanced Enzyme Technologies Limited,INE837H01020,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Biotechnology
Aegis Logistics Limited,INE208C01025,AEGISLOG,Aegis Logistics Limited,EQ,Oil Gas & Consumable Fuels,Gas,Energy,Trading - Gas
Aegis Vopak Terminals Limited,INE0INX01018,AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,Oil Gas & Consumable Fuels,Oil,Energy,Oil Storage & Transportation
Artemis Electricals and Projects Limited,INE757T01025,AEPL,Artemis Electricals and Projects Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Other Electrical Equipment
Aequs Limited,INE947N01017,AEQUS,Aequs Limited,EQ,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense
Aeroflex Enterprises Limited,INE065D01027,AEROENTER,Aeroflex Enterprises Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Aeroflex Industries Limited,INE024001021,AEROFLEX,Aeroflex Industries Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Aeroflex Neu Limited,INE035801013,AERONEU,Aeroflex Neu Limited,EQ,Capital Goods,Industrial Products,Industrials,Packaging
Aether Industries Limited,INE0BWX01014,AETHER,Aether Industries Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Afcons Infrastructure Limited,INE101I01011,AFCONS,Afcons Infrastructure Limited,EQ,Construction,Construction,Industrials,Civil Construction
Affle 3i Limited,INE00WC01027,AFFLE,Affle 3i Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Affordable Robotic & Automation Limited,INE692Z01013,AFFORDABLE,Affordable Robotic & Automation Limited,EQ,Capital Goods,Industrial Manufacturing,Industrials,Industrial Products
Akme Fintrade (India) Limited,INE916Y01027,AFIL,Akme Fintrade (India) Limited,BE,Financial Services,Finance,Financial Services,Non Banking Financial Company (NBFC)
Abans Financial Services Limited,INE00ZE01026,AFSL,Abans Financial Services Limited,EQ,Financial Services,Finance,Financial Services,Holding Company
Agarwal Industrial Corporation Limited,INE204E01012,AGARIND,Agarwal Industrial Corporation Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Petrochemicals
Dr. Agarwal's Health Care Limited,INE943P01029,AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,Healthcare,Healthcare Services,Healthcare,Hospital
AGI Greenpac Limited,INE415A01038,AGI,AGI Greenpac Limited,EQ,Capital Goods,Industrial Products,Industrials,Packaging
Agi Infra Limited,INE976R01033,AGIIL,Agi Infra Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Agri-Tech (India) Limited,INE449G01018,AGRITECH,Agri-Tech (India) Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Other Agricultural Products
Agro Phos India Limited,INE740V01019,AGROPHOS,Agro Phos India Limited,EQ,Chemicals,Fertilizers & Agrochemicals,Commodities,Fertilizers
AGS Transact Technologies Limited,INE583L01014,AGSTRA,AGS Transact Technologies Limited,BZ,Financial Services,Financial Technology (Fintech),Financial Services,Financial Technology (Fintech)
Anlon Healthcare Limited,INE0Y8W01017,AHCL,Anlon Healthcare Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Ahlada Engineers Limited,INE00PV01013,AHLADA,Ahlada Engineers Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Furniture Home Furnishing
Asian Hotels (East) Limited,INE926K01017,AHLEAST,Asian Hotels (East) Limited,EQ,Consumer Services,Leisure Services,Consumer Discretionary,Hotels & Resorts
Ahluwalia Contracts (India) Limited,INE758C01029,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,Construction,Construction,Industrials,Civil Construction
AIA Engineering Limited,INE212H01026,AIAENG,AIA Engineering Limited,EQ,Capital Goods,Industrial Products,Industrials,Castings & Forgings
Authum Investment & Infrastructure Limited,INE206F01022,AIIL,Authum Investment & Infrastructure Limited,EQ,Financial Services,Finance,Financial Services,Non Banking Financial Company (NBFC)
Airan Limited,INE645W01026,AIRAN,Airan Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Airo Lam limited,INE801L01010,AIROLAM,Airo Lam limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates
Ajanta Pharma Limited,INE031B01049,AJANTPHARM,Ajanta Pharma Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Ajax Engineering Limited,INE274Y01021,AJAXENGG,Ajax Engineering Limited,EQ,Capital Goods,Agricultural Commercial & Construction Vehicles,Industrials,Construction Vehicles
Ajmera Realty & Infra India Limited,INE298G01035,AJMERA,Ajmera Realty & Infra India Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Ajooni Biotech Limited,INE820Y01021,AJOONI,Ajooni Biotech Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Animal Feed
Akash Infra-Projects Limited,INE737W01013,AKASH,Akash Infra-Projects Limited,EQ,Construction,Construction,Industrials,Civil Construction
Akg Exim Limited,INE00Y801016,AKG,Akg Exim Limited,EQ,Services,Commercial Services & Supplies,Services,Trading & Distributors
AKI India Limited,INE642Z01026,AKI,AKI India Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Leather And Leather Products
Akshar Spintex Limited,INE256Z01025,AKSHAR,Akshar Spintex Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
AksharChem India Limited,INE542B01011,AKSHARCHEM,AksharChem India Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Dyes And Pigments
Aksh Optifibre Limited,INE523B01011,AKSHOPTFBR,Aksh Optifibre Limited,EQ,Telecommunication,Telecom - Equipment & Accessories,Telecommunication,Telecom - Equipment & Accessories
Akums Drugs and Pharmaceuticals Limited,INE09XN01023,AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Akzo Nobel India Limited,INE133A01011,AKZOINDIA,Akzo Nobel India Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Paints
Alankit Limited,INE914E01040,ALANKIT,Alankit Limited,EQ,Services,Commercial Services & Supplies,Services,Diversified Commercial Services
Albert David Limited,INE155C01010,ALBERTDAVD,Albert David Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Alembic Limited,INE426A01027,ALEMBICLTD,Alembic Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Algoquant Fintech Limited,INE598D01035,ALGOQUANT,Algoquant Fintech Limited,EQ,Financial Services,Finance,Financial Services,Other Financial Services
Alicon Castalloy Limited,INE062D01024,ALICON,Alicon Castalloy Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Alivus Life Sciences Limited,INE03Q201024,ALIVUS,Alivus Life Sciences Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Alkali Metals Limited,INE773I01017,ALKALI,Alkali Metals Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Alkem Laboratories Limited,INE540L01014,ALKEM,Alkem Laboratories Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Alkyl Amines Chemicals Limited,INE150B01039,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Allcargo Logistics Limited,INE418H01029,ALLCARGO,Allcargo Logistics Limited,EQ,Services,Transport Services,Services,Logistics Solution Provider
Alldigi Tech Limited,INE835G01018,ALLDIGI,Alldigi Tech Limited,EQ,Services,Commercial Services & Supplies,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
All Time Plastics Limited,INE0GV601021,ALLTIME,All Time Plastics Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Houseware
Almondz Global Securities Limited,INE326B01035,ALMONDZ,Almondz Global Securities Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
Alok Industries Limited,INE270A01029,ALOKINDS,Alok Industries Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Alpa Laboratories Limited,INE385I01010,ALPA,Alpa Laboratories Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Alphageo (India) Limited,INE137C01018,ALPHAGEO,Alphageo (India) Limited,EQ,Oil Gas & Consumable Fuels,Oil,Energy,Offshore Support Solution Drilling
Amagi Media Labs Limited,INE121R01077,AMAGI,Amagi Media Labs Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Amanta Healthcare Limited,INE084K01015,AMANTA,Amanta Healthcare Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Amber Enterprises India Limited,INE371P01015,AMBER,Amber Enterprises India Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Household Appliances
Ambica Agarbathies & Aroma industries Limited,INE792B01012,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,Fast Moving Consumer Goods,Household Products,Fast Moving Consumer Goods,Household Products
Ambika Cotton Mills Limited,INE540G01014,AMBIKCO,Ambika Cotton Mills Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Ambuja Cements Limited,INE079A01024,AMBUJACEM,Ambuja Cements Limited,EQ,Construction Materials,Cement & Cement Products,Commodities,Cement & Cement Products
AMD Industries Limited,INE005I01014,AMDIND,AMD Industries Limited,EQ,Capital Goods,Industrial Products,Industrials,Packaging
Amj Land Holdings Limited,INE606A01024,AMJLAND,Amj Land Holdings Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Amines & Plasticizers Limited,INE275D01022,AMNPLST,Amines & Plasticizers Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Commodity Chemicals
Amrutanjan Health Care Limited,INE098F01031,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Anand Rathi Wealth Limited,INE463V01026,ANANDRATHI,Anand Rathi Wealth Limited,EQ,Financial Services,Capital Markets,Financial Services,Financial Products Distributor
Anant Raj Limited,INE242C01024,ANANTRAJ,Anant Raj Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
ANDHRA PAPER LIMITED,INE435A01051,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,Forest Materials,Paper Forest & Jute Products,Commodities,Paper & Paper Products
The Andhra Sugars Limited,INE715B01021,ANDHRSUGAR,The Andhra Sugars Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Commodity Chemicals
Angel One Limited,INE732I01021,ANGELONE,Angel One Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
Anik Industries Limited,INE087B01017,ANIKINDS,Anik Industries Limited,EQ,Services,Commercial Services & Supplies,Services,Trading & Distributors
Ankit Metal & Power Limited,INE106I01010,ANKITMETAL,Ankit Metal & Power Limited,BZ,Metals & Mining,Ferrous Metals,Commodities,Iron & Steel
Anmol India Limited,INE02AR01019,ANMOL,Anmol India Limited,EQ,Oil Gas & Consumable Fuels,Consumable Fuels,Energy,Trading - Coal
Ansal Properties & Infrastructure Limited,INE436A01026,ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Antelopus Selan Energy Limited,INE818A01017,ANTELOPUS,Antelopus Selan Energy Limited,EQ,Oil Gas & Consumable Fuels,Oil,Energy,Oil Exploration & Production
Antarctica Limited,INE414B01021,ANTGRAPHIC,Antarctica Limited,EQ,Capital Goods,Industrial Products,Industrials,Packaging
Anthem Biosciences Limited,INE0CZ201020,ANTHEM,Anthem Biosciences Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Biotechnology
Anuh Pharma Limited,INE489G01022,ANUHPHR,Anuh Pharma Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
The Anup Engineering Limited,INE294Z01018,ANUP,The Anup Engineering Limited,EQ,Capital Goods,Industrial Manufacturing,Industrials,Industrial Products
Anupam Rasayan India Limited,INE930P01018,ANURAS,Anupam Rasayan India Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Apar Industries Limited,INE372A01015,APARINDS,Apar Industries Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Other Electrical Equipment
Anjani Portland Cement Limited,INE071F01012,APCL,Anjani Portland Cement Limited,EQ,Construction Materials,Cement & Cement Products,Commodities,Cement & Cement Products
Apcotex Industries Limited,INE116A01032,APCOTEXIND,Apcotex Industries Limited,EQ,Capital Goods,Industrial Products,Industrials,Rubber
Apex Frozen Foods Limited,INE346W01013,APEX,Apex Frozen Foods Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Seafood
APL Apollo Tubes Limited,INE702C01027,APLAPOLLO,APL Apollo Tubes Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Alembic Pharmaceuticals Limited,INE901L01018,APLLTD,Alembic Pharmaceuticals Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Apollo Micro Systems Limited,INE713T01028,APOLLO,Apollo Micro Systems Limited,EQ,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense
Apollo Hospitals Enterprise Limited,INE437A01024,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Healthcare,Healthcare Services,Healthcare,Hospital
Apollo Pipes Limited,INE126J01016,APOLLOPIPE,Apollo Pipes Limited,EQ,Capital Goods,Industrial Products,Industrials,Plastic Products - Industrial
Apollo Tyres Limited,INE438A01022,APOLLOTYRE,Apollo Tyres Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Tyres & Rubber Products
Apollo Sindoori Hotels Limited,INE451F01024,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,Consumer Services,Leisure Services,Consumer Discretionary,Hotels & Resorts
Aptech Limited,INE266F01018,APTECHT,Aptech Limited,EQ,Consumer Services,Other Consumer Services,Consumer Discretionary,Education
Aptus Value Housing Finance India Limited,INE852O01025,APTUS,Aptus Value Housing Finance India Limited,EQ,Financial Services,Finance,Financial Services,Housing Finance Company
Aqylon Nexus Limited,INE416A01051,AQYLON,Aqylon Nexus Limited,EQ,Media Entertainment & Publication,Entertainment,Consumer Discretionary,TV Broadcasting & Software Production
Archidply Industries Limited,INE877I01016,ARCHIDPLY,Archidply Industries Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates
Archies Limited,INE731A01020,ARCHIES,Archies Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Leisure Products
Amara Raja Energy & Mobility Limited,INE885A01032,ARE&M,Amara Raja Energy & Mobility Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Rajdarshan Industries Limited,INE610C01014,ARENTERP,Rajdarshan Industries Limited,EQ,Metals & Mining,Metals & Minerals Trading,Commodities,Trading - Minerals
Arfin India Limited,INE784R01023,ARFIN,Arfin India Limited,EQ,Metals & Mining,Non - Ferrous Metals,Commodities,Aluminium
Aries Agro Limited,INE298I01015,ARIES,Aries Agro Limited,EQ,Chemicals,Fertilizers & Agrochemicals,Commodities,Fertilizers
Arihant Capital Markets Limited,INE420B01036,ARIHANTCAP,Arihant Capital Markets Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
Arihant Superstructures Limited,INE643K01018,ARIHANTSUP,Arihant Superstructures Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Arisinfra Solutions Limited,INE0H9P01028,ARIS,Arisinfra Solutions Limited,EQ,Construction Materials,Other Construction Materials,Commodities,Other Construction Materials
Arkade Developers Limited,INE0QRL01017,ARKADE,Arkade Developers Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Arman Financial Services Limited,INE109C01017,ARMANFIN,Arman Financial Services Limited,EQ,Financial Services,Finance,Financial Services,Non Banking Financial Company (NBFC)
Aro Granite Industries Limited,INE210C01013,AROGRANITE,Aro Granite Industries Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Granites & Marbles
Arrow Greentech Limited,INE570D01018,ARROWGREEN,Arrow Greentech Limited,EQ,Capital Goods,Industrial Products,Industrials,Packaging
Anand Rathi Share and Stock Brokers Limited,INE549H01021,ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
Artemis Medicare Services Limited,INE025R01021,ARTEMISMED,Artemis Medicare Services Limited,EQ,Healthcare,Healthcare Services,Healthcare,Hospital
Art Nirman Limited,INE738V01013,ARTNIRMAN,Art Nirman Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Arvee Laboratories (India) Limited,INE006Z01016,ARVEE,Arvee Laboratories (India) Limited,BE,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Arvind Limited,INE034A01011,ARVIND,Arvind Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Garments & Apparels
Arvind Fashions Limited,INE955V01021,ARVINDFASN,Arvind Fashions Limited,EQ,Consumer Services,Retailing,Consumer Discretionary,Speciality Retail
Arvind SmartSpaces Limited,INE034S01021,ARVSMART,Arvind SmartSpaces Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Asahi India Glass Limited,INE439A01020,ASAHIINDIA,Asahi India Glass Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Asahi Songwon Colors Limited,INE228I01012,ASAHISONG,Asahi Songwon Colors Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Dyes And Pigments
Automotive Stampings and Assemblies Limited,INE900C01027,ASAL,Automotive Stampings and Assemblies Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Associated Alcohols & Breweries Ltd.,INE073G01016,ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,Fast Moving Consumer Goods,Beverages,Fast Moving Consumer Goods,Breweries & Distilleries
Ashapura Minechem Limited,INE348A01023,ASHAPURMIN,Ashapura Minechem Limited,EQ,Metals & Mining,Minerals & Mining,Commodities,Industrial Minerals
Ashiana Housing Limited,INE365D01021,ASHIANA,Ashiana Housing Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Ashima Limited,INE440A01010,ASHIMASYN,Ashima Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Ashoka Buildcon Limited,INE442H01029,ASHOKA,Ashoka Buildcon Limited,EQ,Construction,Construction,Industrials,Civil Construction
Ashoka Metcast Limited,INE760Y01011,ASHOKAMET,Ashoka Metcast Limited,EQ,Metals & Mining,Metals & Minerals Trading,Commodities,Trading - Metals
Ashok Leyland Limited,INE208A01029,ASHOKLEY,Ashok Leyland Limited,EQ,Capital Goods,Agricultural Commercial & Construction Vehicles,Industrials,Commercial Vehicles
